Model,Variable,coef,se(coef),z,p_value,HR,HR_lower_95,HR_upper_95
Model3,pain_status_Acute,0.02191689024265706,0.01761232699654894,1.244406275613187,0.21335007439312487,1.0221588295679052,0.987476444310136,1.0580593379050642
Model3,pain_status_CWP,0.3877539002770365,0.05226474632864883,7.4190334310393435,1.179781336130888e-13,1.4736670706002881,1.330183469632261,1.6326278927312299
Model3,pain_status_MCP,0.14377238306337645,0.016298033841902176,8.821455671158214,1.1298124899319218e-18,1.154621267256673,1.1183214141542184,1.1920993856758624
Model3,pain_status_SCP,0.05682311333570114,0.015310702619301985,3.71133283354776,0.00020617080307293106,1.0584685648616659,1.0271774364339592,1.0907129217030325
Model3,age,0.037805262327892504,0.0008220059770463762,45.99146889872261,0.0,1.0385289724707614,1.0368571433571565,1.0402034972426861
Model3,sex_Male,0.16107191649913352,0.012972929419203055,12.416001914009364,2.1399107265195166e-35,1.1747694510822115,1.1452757549908885,1.2050226831240134
Model3,ethnic_background_Non-white,-0.23985087802598368,0.033303732037100346,-7.201921927512204,5.936968605242171e-13,0.7867451733127113,0.7370312446152707,0.8398123855033428
Model3,townsend_group_High,0.10709431219158524,0.014236630559618858,7.522447937600508,5.376002763265439e-14,1.1130392226977694,1.082411074263249,1.1445340321438335
Model3,townsend_group_Medium,0.0301789990374769,0.013803808996930476,2.1862805435939996,0.028795086700372684,1.0306390008324626,1.0031289154229766,1.0589035304490704
Model3,qualifications_Non-College or University degree,0.11083306123803063,0.013919365523637333,7.9625081365826755,1.6858652213363302e-15,1.1172083859012987,1.087141316994937,1.148107019773951
Model3,bmi_group_25.0 - 29.9,0.11616309279535249,0.013081819342520628,8.879735284050328,6.7019662218861e-19,1.1231790396054517,1.0947469033205048,1.1523495989645118
Model3,bmi_group_>= 30.0,0.402958752016485,0.015088567616281762,26.706229661035586,3.98454381021182e-157,1.4962451732944697,1.4526445210134251,1.5411544849562735
Model3,diet_category_0-1,0.09518639028395257,0.01980987321047547,4.80499745115067,1.5475347654121662e-06,1.0998638399553577,1.0579782253324697,1.1434077162232674
Model3,diet_category_2-3,0.05094639715038656,0.01294540341528873,3.9354816158311485,8.303002032144774e-05,1.052266487289185,1.0259036897375944,1.079306733515245
Model3,sedentary_time_group_> 4,0.05699808240023856,0.013058464807112072,4.364837922540138,1.2721704756923749e-05,1.058653780319317,1.0319022686814752,1.0860988105166482
Model3,smoking_status_current,0.21389039089217524,0.021283184194414613,10.049736399326324,9.211348493043067e-24,1.2384868979095602,1.1878870211722379,1.2912421543085826
Model3,smoking_status_previous,0.0669090195023853,0.013421305709958458,4.985283917103502,6.1870891425468e-07,1.069198197565285,1.041439346854261,1.0976969413820614
Model3,alcohol_status_current,-0.13860954916759574,0.0255286485500077,-5.429568623504511,5.6490428778717856e-08,0.8705678760589164,0.8280806045044593,0.9152350902835951
Model3,alcohol_status_previous,0.08459346905145408,0.035363972829237596,2.3920804786252803,0.016753168410079063,1.088274559469112,1.0153987129048951,1.1663807544126934
Model3,vascular_heart_problems,0.11698550893617467,0.014065660684269378,8.317100174825619,9.014156210429842e-17,1.1241031401221608,1.093536916572484,1.1555237417983824
Model3,diabetes,0.07764172420215598,0.027490282792622226,2.8243334122045947,0.00473790705551031,1.0807353879659836,1.024046320035353,1.1405626444335673
Model3,cancer,0.34596009087623164,0.022722268534356854,15.225596438715089,2.391674823382525e-52,1.413346209283323,1.3517840829430345,1.4777119604386681
